(247, 224, 69, 255)	25	9.21	9.23	6.0	15.23
(247, 225, 68, 255)	37	12.24	14.19	7.0	21.19
(247, 225, 67, 255)	45	14.52	17.3	8.0	25.3
(247, 223, 67, 255)	171	18.4	25.79	9.0	34.79
(247, 223, 66, 255)	67	21.61	25.0	12.0	37.0
(247, 223, 65, 255)	148	24.05	29.38	13.0	42.38
(247, 223, 64, 255)	211	29.27	33.1	15.0	48.1
(247, 223, 63, 255)	59	35.97	26.25	24.08	50.33
(247, 223, 62, 255)	106	39.67	26.27	27.59	53.85
(247, 222, 62, 255)	98	43.66	23.81	32.65	56.46
(247, 221, 61, 255)	48	46.76	22.46	36.24	58.69
(247, 221, 60, 255)	93	49.13	22.91	38.42	61.33
(247, 221, 59, 255)	91	52.52	22.87	42.01	64.88
(246, 220, 58, 255)	84	64.29	11.46	56.08	67.54
(246, 221, 58, 255)	296	57.1	19.68	44.82	64.5
(246, 219, 58, 255)	50	68.2	3.55	66.29	69.84
(246, 218, 58, 255)	36	70.93	3.38	69.34	72.72
(246, 217, 58, 255)	17	73.33	1.96	72.47	74.43
(246, 217, 57, 255)	52	71.93	6.69	68.01	74.71
(246, 216, 56, 255)	93	74.78	7.17	70.72	77.9
(246, 217, 56, 255)	25	72.03	6.7	68.59	75.29
(246, 215, 56, 255)	46	78.69	3.35	77.1	80.45
(246, 218, 57, 255)	87	68.71	6.05	65.8	71.85
(246, 219, 57, 255)	43	65.25	5.94	63.13	69.07
(246, 220, 57, 255)	21	61.89	3.86	59.55	63.41
(246, 214, 56, 255)	29	81.33	3.12	79.88	83.01
(247, 213, 56, 255)	15	83.74	2.86	82.38	85.23
(247, 212, 56, 255)	5	86.24	1.69	85.44	87.13
(246, 216, 57, 255)	12	72.16	2.47	70.94	73.41
(247, 211, 55, 255)	73	87.01	6.27	84.17	90.44
(247, 212, 55, 255)	86	84.38	6.69	81.32	88.01
(247, 213, 55, 255)	38	83.74	4.01	81.69	85.7
(246, 214, 55, 255)	103	78.49	7.0	75.66	82.66
(246, 215, 55, 255)	60	75.05	3.47	73.54	77.01
(246, 218, 56, 255)	2	68.26	0.73	67.9	68.62
(246, 216, 55, 255)	9	73.34	1.04	72.84	73.88
(247, 210, 55, 255)	54	89.5	5.8	87.11	92.91
(246, 213, 55, 255)	67	80.28	3.49	78.52	82.01
(247, 209, 55, 255)	43	92.2	5.71	89.5	95.21
(247, 208, 55, 255)	21	94.55	3.94	92.46	96.4
(247, 208, 54, 255)	20	94.72	5.81	92.2	98.01
(247, 207, 54, 255)	5	96.27	2.96	95.27	98.23
(247, 206, 54, 255)	3	97.29	2.77	96.05	98.81
(247, 206, 53, 255)	8	98.78	3.38	96.83	100.21
(247, 207, 53, 255)	5	97.06	1.75	96.05	97.8
(247, 209, 54, 255)	15	90.99	3.12	89.2	92.31
(247, 210, 54, 255)	15	88.25	3.03	87.0	90.03
(247, 211, 54, 255)	15	85.48	2.9	84.15	87.05
(247, 212, 54, 255)	18	82.56	3.43	80.72	84.15
(246, 213, 54, 255)	9	80.23	2.04	79.31	81.34
(246, 214, 54, 255)	1	78.64	0.0	78.64	78.64
(247, 205, 53, 255)	1	100.8	0.0	100.8	100.8
(246, 205, 53, 255)	69	98.93	7.99	94.81	102.8
(246, 207, 53, 255)	49	93.7	6.24	91.21	97.45
(246, 207, 54, 255)	27	94.92	2.3	93.61	95.9
(246, 208, 54, 255)	110	92.41	6.89	88.24	95.13
(246, 209, 54, 255)	85	89.87	5.41	86.68	92.1
(246, 210, 54, 255)	50	87.7	4.4	85.43	89.83
(246, 211, 54, 255)	46	85.18	3.49	83.49	86.98
(246, 212, 54, 255)	22	82.5	3.71	80.16	83.87
(246, 206, 53, 255)	52	95.94	4.63	93.6	98.23
(246, 206, 54, 255)	11	95.63	1.69	94.85	96.54
(246, 204, 53, 255)	45	101.57	3.68	99.72	103.41
(246, 203, 53, 255)	20	103.89	2.77	102.65	105.42
(246, 202, 52, 255)	30	103.3	4.21	101.83	106.04
(246, 201, 52, 255)	6	106.7	2.31	105.76	108.07
(246, 202, 53, 255)	1	105.12	0.0	105.12	105.12
(246, 203, 52, 255)	72	101.35	5.92	98.81	104.74
(245, 200, 51, 255)	114	105.78	6.31	102.4	108.71
(245, 201, 51, 255)	67	103.66	6.42	101.51	107.94
(245, 202, 52, 255)	22	104.58	2.41	103.24	105.65
(245, 202, 51, 255)	9	102.77	4.96	100.69	105.65
(245, 200, 52, 255)	29	109.38	2.99	108.21	111.2
(245, 201, 52, 255)	45	106.58	4.41	103.97	108.37
(246, 204, 52, 255)	109	99.13	6.33	96.26	102.59
(246, 205, 52, 255)	51	97.28	5.54	94.87	100.41
(246, 206, 52, 255)	23	95.97	2.78	94.81	97.59
(246, 207, 52, 255)	2	95.56	0.06	95.52	95.59
(245, 199, 52, 255)	8	111.87	1.57	111.13	112.7
(246, 208, 53, 255)	8	90.48	1.81	89.4	91.21
(244, 198, 52, 255)	1	113.36	0.0	113.36	113.36
(244, 197, 51, 255)	70	112.16	6.1	110.0	116.1
(244, 198, 51, 255)	14	110.78	4.26	109.02	113.28
(245, 199, 51, 255)	127	108.48	8.91	104.31	113.22
(245, 198, 51, 255)	36	110.98	3.67	108.81	112.49
(244, 196, 51, 255)	36	113.96	4.62	112.16	116.78
(244, 195, 50, 255)	80	113.74	5.81	111.65	117.46
(244, 195, 51, 255)	4	115.8	0.74	115.26	116.0
(244, 194, 50, 255)	36	116.37	4.49	113.65	118.14
(246, 202, 51, 255)	15	102.23	2.15	101.26	103.41
(246, 203, 51, 255)	33	100.24	3.27	98.74	102.0
(246, 204, 51, 255)	7	98.15	1.39	97.35	98.74
(244, 193, 50, 255)	1	118.83	0.0	118.83	118.83
(243, 192, 49, 255)	27	118.19	4.67	116.25	120.92
(243, 193, 49, 255)	16	117.5	1.87	116.39	118.26
(243, 193, 50, 255)	13	117.47	1.52	116.67	118.19
(244, 196, 50, 255)	82	111.56	4.72	109.62	114.34
(244, 191, 49, 255)	2	121.27	0.71	120.92	121.62
(244, 191, 48, 255)	31	121.53	6.4	116.76	123.17
(243, 192, 48, 255)	61	119.04	4.32	116.85	121.17
(243, 193, 48, 255)	6	117.95	1.0	117.44	118.44
(244, 193, 49, 255)	57	115.78	3.05	114.55	117.59
(243, 190, 48, 255)	6	123.18	1.3	122.49	123.79
(244, 194, 49, 255)	54	115.0	4.08	113.21	117.29
(244, 195, 49, 255)	22	114.21	2.53	112.89	115.42
(245, 197, 50, 255)	17	109.63	1.45	109.0	110.45
(245, 198, 50, 255)	46	108.06	2.76	106.53	109.29
(245, 199, 50, 255)	20	105.7	2.75	104.1	106.85
(243, 189, 48, 255)	31	123.61	3.2	122.2	125.4
(244, 197, 50, 255)	4	109.72	0.86	109.27	110.14
(243, 188, 47, 255)	38	123.99	3.94	122.12	126.06
(243, 187, 47, 255)	66	124.24	4.82	122.59	127.4
(244, 190, 48, 255)	47	121.6	3.58	119.85	123.43
(243, 191, 48, 255)	64	119.1	3.64	117.24	120.88
(244, 192, 49, 255)	1	117.2	0.0	117.2	117.2
(242, 186, 47, 255)	15	127.97	1.87	127.02	128.89
(243, 186, 47, 255)	17	126.5	3.24	124.42	127.66
(243, 188, 48, 255)	21	124.15	2.88	122.54	125.42
(244, 189, 48, 255)	6	122.43	2.48	120.75	123.23
(242, 185, 47, 255)	5	129.32	0.75	128.97	129.73
(243, 187, 48, 255)	2	124.59	2.3	123.44	125.73
(242, 184, 47, 255)	4	130.46	1.3	129.83	131.14
(242, 183, 46, 255)	51	130.23	3.58	128.7	132.28
(242, 184, 46, 255)	52	129.37	3.61	127.63	131.24
(242, 185, 46, 255)	60	127.75	5.18	125.24	130.42
(243, 186, 46, 255)	53	125.61	4.04	124.02	128.06
(243, 187, 46, 255)	17	125.15	2.17	124.04	126.21
(244, 190, 47, 255)	34	121.3	2.75	119.89	122.64
(243, 191, 47, 255)	30	118.78	3.19	117.18	120.37
(244, 192, 48, 255)	7	117.0	1.36	116.3	117.66
(244, 193, 48, 255)	15	115.79	2.09	114.53	116.62
(243, 192, 47, 255)	1	117.66	0.0	117.66	117.66
(243, 189, 47, 255)	10	122.65	1.11	122.11	123.22
(242, 186, 46, 255)	19	127.67	4.07	124.78	128.84
(241, 182, 45, 255)	33	131.47	3.71	129.71	133.42
(241, 181, 45, 255)	47	131.82	2.96	130.59	133.54
(244, 189, 47, 255)	46	121.01	3.4	119.47	122.87
(243, 190, 47, 255)	30	118.8	2.57	117.65	120.22
(241, 180, 45, 255)	28	133.3	3.23	132.02	135.25
(243, 185, 46, 255)	39	126.05	1.95	125.2	127.14
(241, 183, 45, 255)	20	129.75	3.02	128.38	131.4
(240, 180, 45, 255)	2	134.19	3.37	132.5	135.87
(244, 188, 47, 255)	8	122.4	0.71	122.09	122.8
(240, 179, 45, 255)	12	135.58	1.8	134.85	136.65
(241, 179, 45, 255)	27	134.27	2.29	133.14	135.43
(240, 178, 45, 255)	10	135.74	4.02	133.42	137.44
(242, 182, 46, 255)	7	131.13	1.11	130.63	131.75
(240, 177, 45, 255)	10	137.17	1.6	136.4	138.0
(240, 176, 44, 255)	4	138.41	0.38	138.22	138.6
(239, 175, 44, 255)	12	138.45	1.14	138.06	139.2
(243, 189, 52, 255)	1	123.0	0.0	123.0	123.0
(239, 175, 43, 255)	30	138.5	3.01	137.08	140.09
(240, 175, 43, 255)	6	139.15	0.82	138.7	139.52
(240, 176, 43, 255)	5	138.38	0.93	137.88	138.81
(240, 177, 44, 255)	34	136.84	2.93	135.52	138.45
(240, 178, 44, 255)	78	134.69	3.48	133.27	136.75
(241, 179, 44, 255)	22	134.31	2.66	133.26	135.92
(241, 180, 44, 255)	10	132.86	1.46	132.23	133.69
(241, 181, 44, 255)	12	131.9	1.38	131.23	132.61
(242, 182, 45, 255)	10	130.91	1.3	130.25	131.55
(242, 183, 45, 255)	14	129.83	1.51	129.0	130.51
(242, 184, 45, 255)	21	128.49	2.31	127.46	129.77
(242, 185, 45, 255)	26	126.7	2.35	125.67	128.02
(242, 189, 51, 255)	1	123.91	0.0	123.91	123.91
(242, 187, 47, 255)	1	124.34	0.0	124.34	124.34
(242, 186, 45, 255)	2	125.0	0.44	124.78	125.22
(240, 179, 44, 255)	32	133.81	3.09	132.82	135.92
(239, 175, 42, 255)	5	140.71	1.03	140.21	141.24
(242, 187, 50, 255)	3	125.72	1.81	124.81	126.63
(241, 182, 44, 255)	1	130.86	0.0	130.86	130.86
(239, 174, 42, 255)	21	140.01	3.17	138.65	141.82
(240, 180, 44, 255)	17	132.4	1.15	131.95	133.09
(240, 181, 44, 255)	5	131.87	0.57	131.53	132.1
(241, 184, 45, 255)	7	128.67	1.34	127.91	129.25
(241, 185, 45, 255)	2	127.69	0.43	127.48	127.91
(239, 176, 43, 255)	5	137.7	1.99	136.97	138.96
(239, 173, 42, 255)	8	140.43	3.95	138.92	142.87
(239, 174, 43, 255)	31	139.04	1.77	138.29	140.06
(239, 176, 44, 255)	51	137.33	1.85	136.34	138.2
(239, 177, 44, 255)	28	136.33	1.63	135.69	137.32
(239, 178, 44, 255)	9	135.41	1.03	134.97	136.0
(242, 186, 50, 255)	1	127.53	0.0	127.53	127.53
(241, 184, 46, 255)	1	127.95	0.0	127.95	127.95
(242, 185, 50, 255)	2	128.9	0.91	128.44	129.36
(241, 183, 46, 255)	2	129.31	0.91	128.86	129.77
(237, 172, 42, 255)	10	143.41	0.66	143.03	143.69
(238, 173, 42, 255)	28	141.78	2.36	140.77	143.13
(238, 174, 42, 255)	39	140.51	1.91	139.54	141.45
(238, 174, 43, 255)	13	139.63	1.27	139.09	140.36
(237, 171, 42, 255)	10	144.01	0.67	143.74	144.4
(238, 172, 42, 255)	21	142.66	1.76	141.66	143.42
(242, 183, 51, 255)	2	130.73	0.91	130.27	131.18
(241, 181, 46, 255)	2	131.13	0.91	130.68	131.59
(237, 170, 41, 255)	47	144.45	3.23	143.27	146.49
(237, 170, 42, 255)	5	144.65	0.99	144.06	145.06
(241, 183, 51, 255)	1	132.1	0.0	132.1	132.1
(240, 180, 47, 255)	3	134.33	1.83	133.42	135.25
(241, 181, 50, 255)	1	133.02	0.0	133.02	133.02
(237, 169, 41, 255)	28	144.93	3.02	144.0	147.03
(241, 180, 50, 255)	1	133.93	0.0	133.93	133.93
(241, 180, 49, 255)	1	134.85	0.0	134.85	134.85
(236, 168, 40, 255)	4	147.19	1.18	146.69	147.87
(237, 169, 40, 255)	57	145.55	2.8	144.01	146.81
(237, 170, 40, 255)	6	145.18	1.52	144.25	145.77
(237, 171, 41, 255)	5	143.45	0.65	143.11	143.76
(238, 172, 41, 255)	48	141.74	2.74	140.53	143.27
(238, 173, 41, 255)	22	140.69	2.58	139.71	142.3
(238, 174, 41, 255)	5	140.34	0.91	139.98	140.89
(239, 177, 43, 255)	4	136.57	0.81	136.17	136.97
(240, 179, 46, 255)	1	136.17	0.0	136.17	136.17
(240, 179, 48, 255)	1	135.77	0.0	135.77	135.77
(239, 174, 41, 255)	1	139.53	0.0	139.53	139.53
(237, 172, 41, 255)	3	143.27	0.98	142.78	143.76
(236, 167, 40, 255)	58	147.94	1.99	146.77	148.76
(237, 168, 40, 255)	66	146.88	2.57	145.62	148.19
(238, 171, 41, 255)	27	142.86	1.36	142.23	143.59
(239, 173, 41, 255)	7	139.74	0.72	139.32	140.04
(239, 177, 46, 255)	1	137.08	0.0	137.08	137.08
(240, 181, 55, 255)	2	136.77	0.92	136.31	137.23
(240, 177, 47, 255)	1	136.69	0.0	136.69	136.69
(236, 166, 40, 255)	46	149.09	2.06	148.22	150.28
(239, 175, 45, 255)	1	138.0	0.0	138.0	138.0
(240, 176, 47, 255)	1	137.62	0.0	137.62	137.62
(236, 165, 40, 255)	76	150.23	2.35	149.22	151.57
(239, 174, 44, 255)	2	139.19	0.54	138.92	139.46
(240, 179, 54, 255)	1	138.16	0.0	138.16	138.16
(240, 175, 47, 255)	1	138.54	0.0	138.54	138.54
(240, 177, 51, 255)	1	139.46	0.0	139.46	139.46
(240, 178, 53, 255)	1	139.09	0.0	139.09	139.09
(235, 165, 39, 255)	26	151.06	1.45	150.27	151.72
(238, 170, 41, 255)	6	143.54	0.66	143.27	143.92
(239, 177, 50, 255)	1	140.39	0.0	140.39	140.39
(240, 178, 52, 255)	1	140.01	0.0	140.01	140.01
(238, 174, 44, 255)	1	140.39	0.0	140.39	140.39
(239, 175, 48, 255)	2	141.78	0.93	141.32	142.24
(239, 176, 50, 255)	2	141.41	0.93	140.94	141.87
(238, 173, 43, 255)	1	141.32	0.0	141.32	141.32
(235, 164, 39, 255)	61	152.4	2.23	151.21	153.44
(239, 180, 59, 255)	1	141.51	0.0	141.51	141.51
(235, 163, 39, 255)	34	153.15	1.97	152.07	154.04
(239, 173, 46, 255)	1	143.17	0.0	143.17	143.17
(239, 179, 58, 255)	1	142.44	0.0	142.44	142.44
(239, 175, 49, 255)	1	142.8	0.0	142.8	142.8
(238, 171, 42, 255)	1	143.17	0.0	143.17	143.17
(235, 162, 39, 255)	25	153.78	1.43	152.95	154.38
(238, 171, 44, 255)	1	144.1	0.0	144.1	144.1
(239, 176, 54, 255)	1	143.74	0.0	143.74	143.74
(239, 177, 56, 255)	1	143.38	0.0	143.38	143.38
(238, 173, 47, 255)	1	143.74	0.0	143.74	143.74
(234, 162, 39, 255)	10	153.89	0.96	153.39	154.35
(238, 175, 52, 255)	1	144.67	0.0	144.67	144.67
(238, 176, 54, 255)	1	144.31	0.0	144.31	144.31
(237, 172, 45, 255)	1	144.67	0.0	144.67	144.67
(237, 167, 40, 255)	3	148.47	0.52	148.25	148.76
(238, 173, 50, 255)	1	145.6	0.0	145.6	145.6
(238, 174, 52, 255)	1	145.25	0.0	145.25	145.25
(237, 170, 43, 255)	1	145.6	0.0	145.6	145.6
(234, 161, 39, 255)	68	155.36	2.61	153.94	156.54
(237, 170, 46, 255)	1	146.54	0.0	146.54	146.54
(239, 176, 59, 255)	1	145.84	0.0	145.84	145.84
(238, 172, 49, 255)	1	146.18	0.0	146.18	146.18
(237, 168, 41, 255)	3	147.47	1.87	146.54	148.41
(234, 161, 38, 255)	14	156.0	0.76	155.63	156.39
(237, 169, 43, 255)	1	147.47	0.0	147.47	147.47
(238, 174, 54, 255)	1	147.12	0.0	147.12	147.12
(239, 175, 56, 255)	1	146.78	0.0	146.78	146.78
(237, 171, 47, 255)	1	147.12	0.0	147.12	147.12
(236, 164, 40, 255)	10	151.57	0.76	151.16	151.92
(238, 173, 52, 255)	1	148.06	0.0	148.06	148.06
(239, 178, 63, 255)	1	147.38	0.0	147.38	147.38
(239, 175, 54, 255)	1	147.72	0.0	147.72	147.72
(237, 169, 45, 255)	1	148.06	0.0	148.06	148.06
(234, 160, 38, 255)	34	157.15	2.07	156.08	158.15
(236, 170, 48, 255)	1	149.0	0.0	149.0	149.0
(238, 176, 60, 255)	1	148.33	0.0	148.33	148.33
(237, 172, 50, 255)	1	148.66	0.0	148.66	148.66
(236, 167, 42, 255)	1	149.0	0.0	149.0	149.0
(233, 159, 38, 255)	32	158.42	2.35	156.98	159.33
(236, 168, 45, 255)	1	149.94	0.0	149.94	149.94
(238, 174, 56, 255)	1	149.6	0.0	149.6	149.6
(238, 174, 57, 255)	1	149.27	0.0	149.27	149.27
(237, 169, 47, 255)	1	149.6	0.0	149.6	149.6
(236, 166, 41, 255)	1	149.94	0.0	149.94	149.94
(234, 159, 38, 255)	27	157.89	1.74	157.01	158.76
